AT5G63090-binding-motif	General-AS2
General-AS2-binding-motif	General-AS2
AT5G65210-binding-motif	AT5G65210
AT5G65310-binding-motif	AT5G65310
AT5G65510-binding-motif	AT5G65510
At5g67000-Binding-motif	At5g67000
At5g67300-binding-motif	At5g67300
AT5G67450-binding-motif	AT5G67450
B3	B3
C3H-binding-motif	C3H
Circadian-clock-binding-motif	Circadian-clock-like
DBB	DBB
DBP	DBP
DDT	DDT
E2F-DP-binding-motif	E2F-DP
FHA	FHA
General-ABI-VP1-Binding-motif-1	ABI3-VP1
General-ABI-VP1-Binding-motif-3	ABI3-VP1
General-ABI-VP1-Binding-motif-2	ABI3-VP1-2
General-ARF-Binding-motif	General-ARF
General-ARID-Binding-motif	ARID
General-ARR-GARP-binding-motif	General-ARR-GARP
General-AUX-IAA-binding-motif	AUX-IAA
General-AUX-IAA-binding-motif-2	AUX-IAA
General-BBR-BPC-binding-motif	BBR-BPC
General-BES-binding-motif	General-BES
General-bHLH-binding-motif	bHLH
General-bZIP-binding-motif	bZIP
General-bZIP-binding-motif-2	bZIP-2
General-C2C2-CO-like-binding-motif	C2C2-CO-like
General-C2C2-DOF-binding-motif	C2C2-Dof
General-C2C2-GATA-binding-motif	C2C2-GATA-Family
General-C2H2-binding-motif	General-C2H2
General-CAMTA-binding-motif	General-CAMTA
General-CCA1-binding-motif	CCA1-like
General-CCAAT-HAP-binding-motif	CCAAT-HAP
General-CPP-binding-motif	General-CPP
General-CSD-binding-motif	General-CSD
General-EIL-binding-motif	General-EIL
General-ERF-2-binding-motif	ERF-2
General-ERF-binding-motif	ERF
General-ERF-binding-motif-3	ERF-3
General-ERF-Binding-motif-4	ERF-4
General-FAR1-like-binding-motif	FAR1-like
General-GEBP-like-binding-motif	GEBP-like
General-GRAS-binding-motif	GRAS
General-GRF-binding-motif	GRF
General-Homeobox-binding-motif	Homeobox
General-HSF-binding-motif	HSF
General-I-box-binding-motif	I-box
General-MADS-box-2-binding-motif	MADS-box-2
General-MADS-box-binding-motif	MADS-box
General-MYB-binding-motif	MYB
General-NAC-binding-motif	NAC
General-PLATZ-binding-motif	PLATZ
PLATZ	PLATZ
General-R1R2R3-binding-motif	R1R2R3
General-RAV-binding-motif	RAV
General-RAV-binding-motif-2	RAV-2
General-SBP-box-binding-motif	SBP-box
General-SRS-binding-motif	SRS
General-TALE-binding-motif	TALE
